epoch,accuracy,auc,learning_rate,loss,val_accuracy,val_auc,val_loss
0,0.9226890802383423,0.9918752908706665,9.999999747378752e-06,0.20284098386764526,0.9392856955528259,0.9947795867919922,0.15982677042484283
1,0.9308823347091675,0.9927833676338196,9.999999747378752e-06,0.18400393426418304,0.949999988079071,0.9956139922142029,0.14187754690647125
2,0.936344563961029,0.9939343333244324,9.999999747378752e-06,0.17101365327835083,0.9476190209388733,0.9968587160110474,0.12597380578517914
3,0.938655436038971,0.9947481751441956,9.999999747378752e-06,0.16134759783744812,0.9404761791229248,0.9961283802986145,0.14395123720169067
4,0.9535714387893677,0.9958534836769104,9.999999747378752e-06,0.13759687542915344,0.9547619223594666,0.9969193935394287,0.12536080181598663
5,0.9514706134796143,0.9964976906776428,9.999999747378752e-06,0.13287979364395142,0.9511904716491699,0.9956972599029541,0.14006192982196808
6,0.951260507106781,0.9969891905784607,9.999999747378752e-06,0.12379807233810425,0.9535714387893677,0.9975170493125916,0.11290901899337769
7,0.9613445401191711,0.9968595504760742,9.999999747378752e-06,0.11508402973413467,0.9595237970352173,0.996462345123291,0.10792869329452515
8,0.9602941274642944,0.9979302883148193,9.999999747378752e-06,0.10296541452407837,0.961904764175415,0.997136652469635,0.10867410153150558
9,0.9613445401191711,0.9979292154312134,9.999999747378752e-06,0.10132665187120438,0.9559524059295654,0.9968003630638123,0.1156783327460289
10,0.9626050591468811,0.9980239272117615,9.999999747378752e-06,0.09846915304660797,0.9654762148857117,0.9981604814529419,0.09704801440238953
11,0.9699580073356628,0.9980437159538269,9.999999747378752e-06,0.08737444132566452,0.9690476059913635,0.9976601004600525,0.09052477031946182
12,0.9726890921592712,0.9984986782073975,9.999999747378752e-06,0.08119545876979828,0.9690476059913635,0.9968221187591553,0.10144474357366562
13,0.9691176414489746,0.9987289905548096,9.999999747378752e-06,0.0778442993760109,0.9654762148857117,0.9984564781188965,0.09012750536203384
14,0.973109245300293,0.9984321594238281,9.999999747378752e-06,0.0762951597571373,0.9702380895614624,0.9970352053642273,0.09099612385034561
15,0.9764705896377563,0.9988704919815063,9.999999747378752e-06,0.06892907619476318,0.9714285731315613,0.9980079531669617,0.08204907923936844
16,0.9783613681793213,0.9989133477210999,9.999999747378752e-06,0.06596459448337555,0.9678571224212646,0.9970105886459351,0.09357369691133499
17,0.9775210022926331,0.9990258812904358,9.999999747378752e-06,0.05896126106381416,0.9714285731315613,0.9973151087760925,0.08314433693885803
18,0.9775210022926331,0.9993653893470764,9.999999747378752e-06,0.057870958000421524,0.973809540271759,0.9985619783401489,0.08151714503765106
19,0.979411780834198,0.9994123578071594,9.999999747378752e-06,0.055769968777894974,0.9726190567016602,0.9982250332832336,0.0728047639131546
20,0.9827731251716614,0.999358057975769,9.999999747378752e-06,0.05159468948841095,0.9785714149475098,0.9975594878196716,0.07622725516557693
21,0.9821428656578064,0.9995233416557312,9.999999747378752e-06,0.05009150132536888,0.9714285731315613,0.9974594116210938,0.0802203118801117
22,0.9815126061439514,0.9994581341743469,9.999999747378752e-06,0.053236931562423706,0.9714285731315613,0.9967034459114075,0.07997985929250717
23,0.9852941036224365,0.9993056058883667,4.999999873689376e-06,0.046565230935811996,0.9750000238418579,0.9976206421852112,0.07120158523321152
24,0.9857142567634583,0.9995685815811157,4.999999873689376e-06,0.04143289849162102,0.973809540271759,0.9959368109703064,0.08725128322839737
