epoch,accuracy,auc,learning_rate,loss,val_accuracy,val_auc,val_loss
0,0.7773109078407288,0.9388824701309204,0.0010000000474974513,0.7294977307319641,0.8916666507720947,0.984965443611145,0.291513592004776
1,0.8392857313156128,0.9636848568916321,0.0010000000474974513,0.5064141750335693,0.9083333611488342,0.9873666763305664,0.25745654106140137
2,0.8590335845947266,0.9733613133430481,0.0010000000474974513,0.4043995141983032,0.9083333611488342,0.9890655279159546,0.24536612629890442
3,0.8733193278312683,0.9771668910980225,0.0010000000474974513,0.3591640293598175,0.898809552192688,0.9893435835838318,0.23966355621814728
4,0.8827731013298035,0.9816244840621948,0.0010000000474974513,0.3141542971134186,0.9059523940086365,0.9914256930351257,0.21606393158435822
5,0.8810924291610718,0.9801816344261169,0.0010000000474974513,0.3236403465270996,0.9154762029647827,0.9888450503349304,0.22980202734470367
6,0.8846638798713684,0.9827656745910645,0.0010000000474974513,0.3033334016799927,0.9166666865348816,0.9899387955665588,0.22087045013904572
7,0.9004201889038086,0.9859776496887207,0.0005000000237487257,0.2694852650165558,0.9226190447807312,0.9925715327262878,0.19694633781909943
8,0.9054622054100037,0.9879589080810547,0.0005000000237487257,0.25097960233688354,0.9214285612106323,0.9932351112365723,0.18633411824703217
9,0.9086134433746338,0.9887086153030396,0.0005000000237487257,0.24121235311031342,0.9321428537368774,0.9936360120773315,0.18183524906635284
10,0.9119747877120972,0.9888674020767212,0.0005000000237487257,0.23485304415225983,0.9214285612106323,0.9934098720550537,0.1882750391960144
11,0.9092437028884888,0.9891486167907715,0.0005000000237487257,0.23652289807796478,0.9309523701667786,0.9920888543128967,0.2028190642595291
