epoch,dice_coefficient,iou_metric,learning_rate,loss,val_dice_coefficient,val_iou_metric,val_loss
0,0.1016022190451622,0.43877366185188293,9.999999747378752e-05,1.191343069076538,0.10411337018013,0.5762484669685364,1.1485896110534668
1,0.15858042240142822,0.6259374022483826,9.999999747378752e-05,1.0206263065338135,0.17558634281158447,0.6024329662322998,0.9758290648460388
2,0.21460996568202972,0.669784665107727,9.999999747378752e-05,0.9109712243080139,0.23486021161079407,0.6609974503517151,0.869199812412262
3,0.2889695465564728,0.6950215697288513,9.999999747378752e-05,0.7971178293228149,0.3114149272441864,0.6219988465309143,0.769672691822052
4,0.3890855312347412,0.7265456318855286,9.999999747378752e-05,0.6683500409126282,0.4016965329647064,0.702326774597168,0.6504786014556885
5,0.509468674659729,0.7493017911911011,9.999999747378752e-05,0.5289607048034668,0.5351450443267822,0.7256904244422913,0.5014608502388
6,0.6239569187164307,0.7689052224159241,9.999999747378752e-05,0.4031924307346344,0.6463483572006226,0.7440210580825806,0.37978601455688477
7,0.7088571786880493,0.7831383943557739,9.999999747378752e-05,0.3130328357219696,0.7192455530166626,0.751598596572876,0.30333948135375977
8,0.7664418816566467,0.7941819429397583,9.999999747378752e-05,0.2525188624858856,0.7512986660003662,0.7544969916343689,0.26907777786254883
9,0.8015763759613037,0.7956224679946899,9.999999747378752e-05,0.21619141101837158,0.7904762625694275,0.7596856951713562,0.22922849655151367
10,0.828446090221405,0.8026325106620789,9.999999747378752e-05,0.18832895159721375,0.8094595670700073,0.7660995125770569,0.20991051197052002
11,0.8471397757530212,0.8076726794242859,9.999999747378752e-05,0.1687036156654358,0.8247186541557312,0.762475311756134,0.1946221888065338
12,0.8597731590270996,0.8113024234771729,9.999999747378752e-05,0.15574094653129578,0.8418434858322144,0.7775408625602722,0.17634201049804688
13,0.8717320561408997,0.817308783531189,9.999999747378752e-05,0.14313124120235443,0.8435466885566711,0.7713948488235474,0.1751379519701004
14,0.8800815939903259,0.8220198750495911,9.999999747378752e-05,0.13438136875629425,0.852928876876831,0.7758893966674805,0.16488967835903168
15,0.8824604749679565,0.8197153806686401,9.999999747378752e-05,0.13191024959087372,0.8519405126571655,0.7737719416618347,0.16644974052906036
16,0.8882883787155151,0.8239836096763611,9.999999747378752e-05,0.1257394701242447,0.8566823601722717,0.773641049861908,0.1619655340909958
17,0.8922463059425354,0.8262370824813843,9.999999747378752e-05,0.12148454785346985,0.8642194867134094,0.7831161022186279,0.15289215743541718
18,0.8948479890823364,0.8277590870857239,9.999999747378752e-05,0.11870133876800537,0.8637347221374512,0.7802812457084656,0.1540919691324234
19,0.8950986862182617,0.826156497001648,9.999999747378752e-05,0.11859861016273499,0.8620361089706421,0.7769013047218323,0.15616153180599213
